"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/blocObserver.dart", "Dart", 0, 0, 28, 5, 33
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/constrainedSliverToBoxAdapter.dart", "Dart", 17, 0, 0, 1, 18
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/constrainedSliverWidth.dart", "Dart", 21, 0, 0, 3, 24
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customCachedImage.dart", "Dart", 20, 0, 0, 2, 22
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customEmptyWidget.dart", "Dart", 20, 0, 0, 2, 22
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customErrorWidget.dart", "Dart", 20, 0, 0, 1, 21
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customFilterButton.dart", "Dart", 32, 0, 0, 1, 33
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customLoadingIndicator.dart", "Dart", 13, 0, 0, 2, 15
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customLoadingWidget.dart", "Dart", 16, 0, 0, 1, 17
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customSearchBar.dart", "Dart", 54, 0, 0, 2, 56
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/customTextField.dart", "Dart", 32, 0, 0, 1, 33
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/custumButton.dart", "Dart", 29, 0, 0, 1, 30
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/sectionTitle.dart", "Dart", 39, 0, 0, 2, 41
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/sectionTitleButton.dart", "Dart", 38, 0, 0, 1, 39
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/components/youtubeButton.dart", "Dart", 28, 0, 0, 4, 32
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/errors/failures.dart", "Dart", 45, 0, 0, 5, 50
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/apiService.dart", "Dart", 26, 0, 0, 2, 28
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appAssets.dart", "Dart", 29, 0, 0, 0, 29
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appCache.dart", "Dart", 26, 0, 0, 6, 32
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appRouter.dart", "Dart", 150, 0, 0, 4, 154
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/appStyles.dart", "Dart", 113, 0, 0, 7, 120
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/constants.dart", "Dart", 8, 0, 0, 3, 11
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/pagesFilters.dart", "Dart", 7, 0, 0, 0, 7
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/pagesPagination.dart", "Dart", 109, 0, 0, 8, 117
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/providers.dart", "Dart", 47, 0, 1, 2, 50
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/serviceLocator.dart", "Dart", 47, 0, 0, 3, 50
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/core/utilities/urlLauncher.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/data/models/navBarModel.dart", "Dart", 89, 0, 4, 4, 97
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/managers/language/languageCubit.dart", "Dart", 24, 0, 2, 4, 30
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/managers/language/languageStates.dart", "Dart", 5, 0, 0, 3, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/homeView.dart", "Dart", 15, 0, 0, 2, 17
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeAppBar.dart", "Dart", 100, 0, 0, 8, 108
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeAppBarImage.dart", "Dart", 30, 0, 1, 4, 35
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeNavBar.dart", "Dart", 97, 0, 0, 7, 104
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/homeViewBody.dart", "Dart", 60, 0, 6, 8, 74
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/home/presentation/views/widgets/languageDropdownButton.dart", "Dart", 44, 0, 0, 7, 51
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/data/models/aboutUsModel.dart", "Dart", 32, 0, 0, 14, 46
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/data/repository/aboutUsRepo.dart", "Dart", 6, 0, 0, 1, 7
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/data/repository/aboutUsRepoImpl.dart", "Dart", 23, 0, 0, 2, 25
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/manager/aboutUs/aboutUsBloc.dart", "Dart", 22, 0, 0, 1, 23
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/manager/aboutUs/aboutUsEvents.dart", "Dart", 2, 0, 0, 0, 2
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/manager/aboutUs/aboutUsStates.dart", "Dart", 12, 0, 0, 2, 14
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/views/aboutUsBody.dart", "Dart", 52, 0, 0, 4, 56
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/aboutUs/presentation/views/components/aboutUsContext.dart", "Dart", 47, 0, 0, 3, 50
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/data/models/adsModel.dart", "Dart", 39, 0, 0, 12, 51
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/data/repository/adsRepo.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/data/repository/adsRepoImpl.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/manager/ads/adsBloc.dart", "Dart", 23, 0, 0, 1, 24
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/manager/ads/adsEvents.dart", "Dart", 7, 0, 0, 0, 7
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/manager/ads/adsStates.dart", "Dart", 13, 0, 0, 3, 16
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/views/adsBody.dart", "Dart", 29, 0, 0, 2, 31
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/views/components/adsItem.dart", "Dart", 73, 0, 0, 1, 74
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/ads/presentation/views/components/adsList.dart", "Dart", 78, 0, 0, 5, 83
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/data/models/companiesGuideModel.dart", "Dart", 58, 0, 0, 12, 70
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/data/repository/coGuideRepo.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/data/repository/coGuideRepoImpl.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/companiesGuide/coGuideBloc.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/companiesGuide/coGuideEvents.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/companiesGuide/coGuideStates.dart", "Dart", 13, 0, 0, 3, 16
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/filters/coGuideFiltersBloc.dart", "Dart", 42, 0, 0, 4, 46
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/filters/coGuideFiltersEvents.dart", "Dart", 5, 0, 0, 3, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/manager/filters/coGuideFiltersStates.dart", "Dart", 3, 0, 0, 4, 7
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/companiesGuideBody.dart", "Dart", 15, 0, 0, 2, 17
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/coGuideAboutItem.dart", "Dart", 22, 0, 0, 1, 23
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/coGuideItem.dart", "Dart", 156, 0, 14, 3, 173
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/coGuideList.dart", "Dart", 86, 0, 0, 5, 91
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/coGuideCompleteSectionTitle.dart", "Dart", 20, 0, 0, 3, 23
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/coGuideSearchAndFiltering.dart", "Dart", 158, 0, 0, 4, 162
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/coGuideSectionTitle.dart", "Dart", 14, 0, 0, 4, 18
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/dropdowns/coGuideActivityDropDownButton.dart", "Dart", 144, 0, 1, 10, 155
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/dropdowns/coGuideSectionDropdownButton.dart", "Dart", 122, 0, 1, 7, 130
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/companiesGuide/presentation/views/components/sectionTitleAndFilter/dropdowns/coGuideTypeDropdownButton.dart", "Dart", 144, 0, 1, 8, 153
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/data/models/fairsModel.dart", "Dart", 55, 0, 0, 12, 67
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/data/repository/fairsRepo.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/data/repository/fairsRepoImpl.dart", "Dart", 26, 0, 0, 2, 28
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/manager/fairs/fairsBloc.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/manager/fairs/fairsEvents.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/manager/fairs/fairsStates.dart", "Dart", 13, 0, 0, 2, 15
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/manager/filters/fairsFiltersBloc.dart", "Dart", 42, 0, 0, 5, 47
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/manager/filters/fairsFiltersEvents.dart", "Dart", 5, 0, 0, 3, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/manager/filters/fairsFiltersStates.dart", "Dart", 3, 0, 0, 4, 7
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/fairsAboutItem.dart", "Dart", 22, 0, 0, 1, 23
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/fairsItem.dart", "Dart", 172, 0, 1, 4, 177
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/fairsList.dart", "Dart", 91, 0, 0, 5, 96
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/dropdowns/fairsConditionDropDownButton.dart", "Dart", 143, 0, 1, 12, 156
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/dropdowns/fairsLocationsDropdownButton.dart", "Dart", 142, 0, 1, 8, 151
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/dropdowns/fairsSectionDropdownButton.dart", "Dart", 124, 0, 0, 7, 131
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/fairsCompleteSectionTitle.dart", "Dart", 20, 0, 0, 3, 23
