"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/fairsSearchAndFiltering.dart", "Dart", 158, 0, 0, 3, 161
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/fairsSectionTitle.dart", "Dart", 14, 0, 0, 4, 18
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/fairsBody.dart", "Dart", 16, 0, 0, 2, 18
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/models/homeModel.dart", "Dart", 61, 0, 0, 12, 73
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/models/mapsModels.dart", "Dart", 27, 0, 0, 1, 28
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/repository/homeRepo.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/repository/homeRepoImpl.dart", "Dart", 28, 0, 1, 4, 33
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/manager/home/homeBloc.dart", "Dart", 19, 0, 0, 1, 20
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/manager/home/homeEvents.dart", "Dart", 2, 0, 0, 1, 3
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/manager/home/homeStates.dart", "Dart", 12, 0, 0, 2, 14
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainContactUs.dart", "Dart", 113, 0, 1, 3, 117
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainContactUsItem.dart", "Dart", 38, 0, 0, 1, 39
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainDetails.dart", "Dart", 43, 0, 0, 2, 45
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainHomeInfo.dart", "Dart", 53, 0, 0, 1, 54
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainHomeInfoItem.dart", "Dart", 45, 0, 0, 1, 46
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainLinks.dart", "Dart", 97, 0, 0, 3, 100
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainMaps.dart", "Dart", 44, 0, 0, 2, 46
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainShowTimeInfo.dart", "Dart", 56, 0, 0, 2, 58
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mapButton.dart", "Dart", 38, 0, 0, 1, 39
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/mainHomeBody.dart", "Dart", 74, 0, 0, 5, 79
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/data/models/newsModel.dart", "Dart", 52, 0, 0, 12, 64
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/data/repository/newsRepo.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/data/repository/newsRepoImpl.dart", "Dart", 26, 0, 0, 2, 28
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/manager/news/newsBloc.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/manager/news/newsEvents.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/manager/news/newsStates.dart", "Dart", 13, 0, 0, 2, 15
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/views/components/calendarFilter.dart", "Dart", 132, 0, 3, 7, 142
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/views/components/newsCard.dart", "Dart", 74, 0, 1, 1, 76
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/views/components/newsCardsList.dart", "Dart", 78, 0, 0, 4, 82
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/views/components/newsSectionTitle.dart", "Dart", 48, 0, 0, 4, 52
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/presentation/views/newsBody.dart", "Dart", 27, 0, 0, 2, 29
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/data/models/companiesModel.dart", "Dart", 61, 0, 0, 12, 73
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/data/repository/companiesRepo.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/data/repository/companiesRepoImpl.dart", "Dart", 26, 0, 0, 2, 28
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/manager/companies/companiesBloc.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/manager/companies/companiesEvents.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/manager/companies/companiesStates.dart", "Dart", 13, 0, 0, 2, 15
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/views/components/participatingCompaniesItem.dart", "Dart", 81, 0, 0, 1, 82
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/views/components/participatingCompaniesItemSingleSection.dart", "Dart", 82, 0, 0, 1, 83
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/views/components/participatingCompaniesList.dart", "Dart", 82, 0, 0, 4, 86
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCompanies/presentation/views/participatingCompaniesBody.dart", "Dart", 30, 0, 0, 2, 32
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/data/models/countriesModel.dart", "Dart", 38, 0, 0, 12, 50
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/data/repository/countriesRepo.dart", "Dart", 8, 0, 0, 1, 9
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/data/repository/countriesRepoImpl.dart", "Dart", 25, 0, 0, 1, 26
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/presentation/manager/countries/countriesBloc.dart", "Dart", 19, 0, 0, 1, 20
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/presentation/manager/countries/countriesEvents.dart", "Dart", 5, 0, 0, 1, 6
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/presentation/manager/countries/countriesStates.dart", "Dart", 12, 0, 0, 2, 14
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/presentation/views/components/countriesGrid.dart", "Dart", 56, 0, 0, 4, 60
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/presentation/views/components/countriesItem.dart", "Dart", 36, 0, 0, 2, 38
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/participatingCountries/presentation/views/participatingCountriesBody.dart", "Dart", 27, 0, 0, 2, 29
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/data/models/sponsoringModel.dart", "Dart", 39, 0, 0, 11, 50
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/data/repository/sponsoringRepo.dart", "Dart", 6, 0, 0, 1, 7
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/data/repository/sponsoringRepoImpl.dart", "Dart", 23, 0, 0, 2, 25
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/manager/sponsors/sponsorsBloc.dart", "Dart", 19, 0, 0, 1, 20
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/manager/sponsors/sponsorsEvents.dart", "Dart", 2, 0, 0, 1, 3
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/manager/sponsors/sponsorsStates.dart", "Dart", 12, 0, 0, 2, 14
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/views/components/diamondPartners.dart", "Dart", 70, 0, 0, 4, 74
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/views/components/goldenPartners.dart", "Dart", 71, 0, 0, 4, 75
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/views/components/polygonClipper.dart", "Dart", 26, 0, 0, 7, 33
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/views/components/polygonItem.dart", "Dart", 39, 0, 0, 1, 40
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/views/components/silverPartners.dart", "Dart", 70, 0, 0, 4, 74
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/sponsoringCompanies/presentation/views/sponsoringCompaniesBody.dart", "Dart", 24, 0, 0, 2, 26
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/statistics/presentation/views/components/calendarFilter.dart", "Dart", 149, 0, 5, 9, 163
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/statistics/presentation/views/components/statisticsCompaniesCount.dart", "Dart", 20, 0, 0, 2, 22
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/statistics/presentation/views/components/statisticsCompaniesCountItem.dart", "Dart", 34, 0, 0, 2, 36
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/statistics/presentation/views/components/statisticsSectionTitle.dart", "Dart", 48, 0, 0, 4, 52
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/statistics/presentation/views/statisticsBody.dart", "Dart", 21, 0, 0, 3, 24
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/data/models/videosModel.dart", "Dart", 49, 0, 0, 12, 61
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/data/repository/videosRepo.dart", "Dart", 9, 0, 0, 1, 10
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/data/repository/videosRepoImpl.dart", "Dart", 26, 0, 0, 4, 30
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/presentation/manager/videos/videosBloc.dart", "Dart", 26, 0, 0, 1, 27
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/presentation/manager/videos/videosEvents.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/presentation/manager/videos/videosStates.dart", "Dart", 13, 0, 0, 2, 15
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/presentation/views/components/videoCard.dart", "Dart", 140, 0, 1, 2, 143
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/presentation/views/components/videosList.dart", "Dart", 79, 0, 0, 5, 84
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/videosLibrary/presentation/views/videosLibraryBody.dart", "Dart", 30, 0, 0, 2, 32
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/splash/presentation/views/splashView.dart", "Dart", 13, 0, 0, 3, 16
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/splash/presentation/views/widgets/splashViewBody.dart", "Dart", 85, 0, 2, 8, 95
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/generated/intl/messages_all.dart", "Dart", 48, 0, 10, 10, 68
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/generated/intl/messages_ar.dart", "Dart", 105, 0, 10, 7, 122
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/generated/intl/messages_en.dart", "Dart", 109, 0, 10, 7, 126
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/generated/l10n.dart", "Dart", 681, 0, 86, 93, 860
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/l10n/intl_ar.arb", "JSON", 0, 80, 0, 0, 80
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/l10n/intl_en.arb", "JSON", 0, 80, 0, 0, 80
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/main.dart", "Dart", 46, 0, 1, 3, 50
"Total", "-", 8141, 160, 193, 681, 9175